array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
2048;0.1580000073;516;881;102;16384;1468006400;779146
2176;0.1600000113;595;952;55;17408;1657241600;820309
2304;0.1750000119;541;941;38;18432;1857945600;892466
2432;0.1800000072;579;1016;46;19456;2070118400;918713
2560;0.1810000092;595;1048;86;20480;2293760000;958068
2688;0.1960000098;765;1184;51;21504;2528870400;1050257
2816;0.2130000144;637;1194;24;22528;2775449600;1181228
2944;0.2100000083;666;1142;49;23552;3033497600;1150234
3072;0.2100000083;703;1242;42;24576;3303014400;1193589
3200;0.2230000049;702;1309;48;25600;3584000000;1262167
3328;0.2290000170;773;1330;12;26624;3876454400;1296888
3456;0.2340000123;765;1293;37;27648;4180377600;1363125
3584;0.2460000068;788;1461;29;28672;4495769600;1431479
3712;0.2569999993;805;1324;84;29696;4822630400;1461311
3840;0.2930000126;904;1589;23;30720;5160960000;1672166
3968;0.2850000262;852;1483;58;31744;5510758400;1624846
4096;0.2780000269;872;1588;44;32768;5872025600;1580611
4224;0.2930000126;929;1482;29;33792;6244761600;1667185
4352;0.2920000255;963;1616;43;34816;6628966400;1714431
4480;0.3130000234;1173;1623;41;35840;7024640000;1832986
4608;0.3190000057;1294;1579;28;36864;7431782400;1861444
4736;0.3250000179;1097;1767;65;37888;7850393600;1904033
4864;0.3290000260;1488;1682;38;38912;8280473600;1924168
4992;0.3400000036;1454;1859;51;39936;8722022400;1974112
5120;0.3560000062;1508;2028;59;40960;9175040000;2071556
5248;0.3700000048;1335;1938;92;41984;9639526400;2110278
5376;0.3860000074;1361;1895;77;43008;10115481600;2144711
5504;0.3980000317;1563;1892;73;44032;10602905600;2200765
5632;0.4180000126;1393;1860;74;45056;11101798400;2283626
5760;0.3910000324;1412;1945;57;46080;11612160000;2300205
5888;0.4060000181;1960;1926;111;47104;12133990400;2389214
6016;0.4370000064;1642;2055;54;48128;12667289600;2518852
6144;0.4460000098;2080;2078;49;49152;13212057600;2545021
6272;0.4440000355;2349;2124;80;50176;13768294400;2625359
