array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
2048;0.3070000112;1232;1834;649;16384;2380342;1589509
2176;0.3290000260;1477;2001;711;17408;2549223;1743757
2304;1.0490000248;1573;2137;253;18432;2719253;1900091
2432;0.5900000334;1901;2269;66;19456;2890366;2056446
2560;0.4090000093;1938;2107;52;20480;3062508;2214954
2688;0.3500000238;2067;2330;88;21504;3235625;2371324
2816;0.3830000162;2353;2290;441;22528;3409672;2529834
2944;0.4280000329;2515;2404;889;23552;3584606;2688364
3072;1.2740000486;2822;2758;934;24576;3760388;2849050
3200;1.6179809570;2961;2822;238;25600;3936984;2904324
3328;1.0850000381;2857;2734;272;26624;4114360;2961707
3456;0.5530000329;3038;2763;49;27648;4292488;3019117
3584;0.4490000308;3083;2747;93;28672;4471338;3078682
3712;0.4580000341;3294;3134;47;29696;4650885;3136109
3840;0.4570000172;3431;2938;105;30720;4831104;3195674
3968;0.4710000157;3622;2946;29;31744;5011975;3255260
4096;0.4960000217;4045;3457;25;32768;5193475;3317002
4224;0.5020000339;4068;3177;132;33792;5375585;3474629
4352;0.5240000486;4321;3391;36;34816;5558286;3634163
4480;0.5640000105;4638;3957;660;35840;5741561;3793717
4608;0.5840000510;4692;3369;201;36864;5925394;3955426
4736;0.5900000334;4803;3313;20;37888;6109769;4114996
4864;0.6860000491;5161;4290;478;38912;6294671;4276706
4992;0.7140000463;5403;3570;632;39936;6480087;4438436
5120;0.9380000234;5603;3742;364;40960;6666003;4602321
5248;1.3960000277;5847;3878;447;41984;6852407;4761909
5376;2.5860002041;5930;3912;284;43008;7039287;4923619
5504;1.3810000420;6220;4009;433;44032;7226631;5085349
5632;1.8990000486;6581;4430;72;45056;7414429;5260181
5760;1.1960000992;6702;4445;339;46080;7602671;5422149
5888;1.0080000162;6888;4447;495;47104;7791347;5586419
6016;0.8830000162;7074;3992;617;48128;7980446;5750708
6144;3.1770000458;7374;4539;338;49152;8169961;5917316
6272;3.2170002460;7501;4993;260;50176;8359883;5975640
6400;1.6190000772;7359;4414;390;51200;8550202;6036391
6528;3.3210000992;7873;4763;1659;52224;8740912;6097001
6656;2.5960001945;8157;6770;275;53248;8932005;6159767
6784;1.1069999933;7844;4453;21;54272;9123472;6220392
6912;0.9310000539;8244;4795;1777;55296;9315308;6283158
7040;1.2000000477;8670;5704;924;56320;9507505;6345945
7168;1.1759999990;8556;4812;392;57344;9700057;6410885
7296;1.2000000477;8856;4939;436;58368;9892958;6471529
7424;1.3850001097;8931;5105;352;59392;10086201;6534296
7552;3.5120000839;9415;5178;237;60416;10279780;6597082
7680;1.6270000935;9244;5627;87;61440;10473690;6662022
7808;1.0440000296;9249;5003;384;62464;10667925;6724824
7936;1.0970000029;9695;5137;469;63488;10862480;6789766
8064;1.1030000448;10020;5397;62;64512;11057350;6854728
8192;1.0150001049;10496;5895;107;65536;11252530;7081652
8320;0.9840000272;10454;5304;119;66560;11448014;7129588
8448;1.0300000906;10648;6141;43;67584;11643799;7416011
8576;1.1390000582;10970;7000;1993;68608;11839879;7584141
8704;1.1510000229;11282;7361;67;69632;12036250;7754426
8832;1.1930000782;11732;6745;350;70656;12232909;7922573
8960;1.2100000381;11811;6684;67;71680;12429850;8092858
9088;1.1560000181;11918;6840;64;72704;12627070;8263164
9216;1.2300000191;12514;7633;80;73728;12824565;8435626
9344;1.2020000219;12578;6465;467;74752;13022331;8603789
9472;1.3590000868;12648;6617;2221;75776;13220364;8774075
9600;1.6270000935;12963;7302;137;76800;13418661;8944381
9728;1.6660001278;13429;8778;110;77824;13617218;9117164
9856;1.4450000525;13612;6912;22;78848;13816031;9287485
9984;1.3370000124;13993;7434;35;79872;14015098;9459948
10112;1.3540000916;14134;7347;55;80896;14214416;9632429
10240;1.4040000439;14326;7701;50;81920;14413980;9807066
10368;1.4570000172;14845;9710;146;82944;14613788;9975249
10496;1.4330000877;14739;7233;94;83968;14813837;10145534
10624;1.4300000668;14976;7023;59;84992;15014124;10315840
10752;1.4860000610;15410;10442;25;86016;15214646;10488302
10880;1.4560000896;15322;9257;31;87040;15415401;10658623
11008;1.4750000238;15642;7395;84;88064;15616385;10831085
11136;1.5030000210;15958;8689;177;89088;15817596;11003568
11264;1.5210000277;16003;8397;74;90112;16019031;11178204
11392;1.5430001020;16268;9143;121;91136;16220688;11348544
11520;1.6100001335;16567;9669;100;92160;16422564;11521007
11648;1.5960000753;16794;9242;153;93184;16624657;11693488
11776;1.6800000668;16967;11002;99;94208;16826964;11868125
11904;1.6700000763;17158;9227;262;95232;17029484;12040623
12032;1.6890001297;17615;9904;40;96256;17232213;12215262
12160;3.4320001602;17763;10769;218;97280;17435150;12389920
12288;1.8870000839;17824;8861;98;98304;17638292;12566732
12416;1.8420001268;18076;11541;183;99328;17841637;12628437
12544;2.3440001011;18440;10060;268;100352;18045184;12692227
12672;6.7790002823;18650;10254;221;101376;18248930;12756038
12800;2.5620000362;18683;10792;3044;102400;18452872;12822001
12928;2.5960001945;18803;10281;23;103424;18657010;12885827
13056;2.1890001297;19099;10060;31;104448;18861342;12951793
13184;1.8270001411;19187;9621;168;105472;19065864;13017779
13312;1.8360000849;19449;10471;195;106496;19270576;13085920
13440;1.8420001268;19661;10521;123;107520;19475475;13149764
13568;1.8590000868;19956;11530;173;108544;19680561;13215731
13696;1.8680000305;20381;10223;97;109568;19885830;13281716
13824;1.9140000343;20630;12850;72;110592;20091282;13349858
13952;1.8750001192;20580;12110;28;111616;20296914;13415860
14080;1.8870000839;20743;14706;128;112640;20502726;13484002
14208;1.8190001249;20804;13259;160;113664;20708715;13552163
14336;1.8190001249;21154;10491;143;114688;20914879;13622480
14464;1.8210000992;21355;10822;151;115712;21121218;13686342
14592;1.8400000334;21468;12997;271;116736;21327729;13752308
14720;1.8540000916;22017;13143;195;117760;21534412;13818295
14848;1.8700001240;22581;14590;223;118784;21741264;13886436
14976;1.8960001469;22375;14427;211;119808;21948285;13952438
15104;1.8770000935;22435;14114;186;120832;22155472;14020580
15232;1.8800001144;22520;13526;184;121856;22362825;14088741
15360;1.8940000534;22833;11772;140;122880;22570342;14159058
15488;1.9020000696;23222;13061;170;123904;22778021;14225085
15616;1.9110001326;23540;15172;244;124928;22985861;14293221
15744;1.9800001383;23681;14083;3482;125952;23193862;14361382
15872;1.9790000916;23852;15003;84;126976;23402021;14431699
16000;1.9820001125;23977;19613;183;128000;23610337;14499877
16128;1.9900001287;24684;18612;113;129024;23818810;14570195
16256;1.9840000868;24974;20353;160;130048;24027437;14640533
16384;1.9480000734;24957;16846;237;131072;24236218;14483194
16512;1.9860000610;24932;14987;153;132096;24445152;14649051
16640;2.0480000973;25453;16825;208;133120;24654236;14816614
16768;1.9970000982;26400;16764;113;134144;24863471;14984684
16896;2.0000000000;26064;14987;198;135168;25072855;15154907
17024;2.0650000572;26912;17670;188;136192;25282387;15322671
17152;2.0960001945;26929;19418;87;137216;25492065;15492572
17280;2.1230001450;27432;21350;133;138240;25701889;15662494
17408;2.1680002213;27846;15066;3802;139264;25911857;15834570
17536;2.1860001087;27779;15178;73;140288;26121969;16002351
17664;2.2039999962;27901;18869;54;141312;26332223;16172252
17792;2.2330000401;28354;17565;155;142336;26542619;16342174
17920;2.2590000629;28587;22148;190;143360;26753155;16514252
18048;2.2730000019;29040;25840;216;144384;26963831;16684191
18176;2.2530000210;29117;21076;61;145408;27174645;16856268
18304;2.2810001373;29804;20461;188;146432;27385596;17028366
18432;2.2590000629;29801;20384;112;147456;27596684;17202619
18560;2.2990000248;30033;20514;224;148480;27807907;17370418
18688;2.3200001717;30772;21031;133;149504;28019265;17540319
18816;2.3370001316;30328;19075;209;150528;28230756;17710240
18944;2.6560001373;31012;18803;4071;151552;28442380;17882317
19072;3.2280001640;31127;19716;100;152576;28654136;18052256
19200;2.7640001774;31421;23005;288;153600;28866023;18224333
19328;2.5190000534;31896;23448;312;154624;29078040;18396432
19456;2.5910000801;32624;23679;296;155648;29290186;18570685
19584;2.5690000057;32324;22010;212;156672;29502461;18740642
19712;2.5740001202;32331;19944;134;157696;29714863;18912718
19840;2.5310001373;32625;22756;191;158720;29927392;19084816
19968;2.5570001602;32880;22481;235;159744;30140047;19259069
20096;2.5760002136;33069;24292;202;160768;30352827;19431184
20224;2.6220002174;33884;29017;255;161792;30565731;19605438
20352;2.6260001659;34094;24675;259;162816;30778758;19779712
20480;2.6700000763;34298;27376;291;163840;30991909;19956183
20608;2.6680002213;34093;25341;279;164864;31205181;20124000
20736;2.7000000477;34586;25623;176;165888;31418574;20293901
20864;2.7260000706;34747;25957;189;166912;31632088;20463822
20992;2.8440001011;35155;28988;1929;167936;31845722;20635900
21120;2.8700001240;35379;28305;1954;168960;32059474;20805839
21248;3.3720002174;35751;29275;326;169984;32273345;20977916
21376;3.3740000725;36217;29148;4658;171008;32487334;21150014
21504;11.1720008850;36551;29245;4806;172032;32701439;21324268
21632;6.2150001526;36510;29590;333;173056;32915660;21494224
21760;10.0380001068;36958;33005;274;174080;33129997;21666302
21888;6.0510001183;37446;29902;244;175104;33344449;21838400
22016;6.2890005112;37369;29166;247;176128;33559014;22012652
22144;5.5510001183;37447;29809;238;177152;33773694;22184767
22272;10.2300004959;37877;31305;823;178176;33988485;22359022
22400;4.6810002327;37910;30463;262;179200;34203390;22533294
22528;9.2920007706;38629;32443;5016;180224;34418405;22709724
22656;3.9560000896;38310;28863;309;181248;34633532;22879698
22784;6.4020004272;39419;34576;334;182272;34848768;23051776
22912;6.4340004921;38665;32230;276;183296;35064114;23223873
23040;3.6880002022;38872;34078;211;184320;35279570;23398126
23168;3.5210001469;39487;34707;2011;185344;35495133;23570241
23296;3.5220000744;39545;34369;1951;186368;35710805;23744494
23424;3.5520002842;40066;33300;304;187392;35926584;23918768
23552;3.3310000896;40142;32934;85;188416;36142469;24095197
23680;3.3580002785;40727;33386;216;189440;36358460;24267330
23808;3.4950001240;40534;33713;840;190464;36574557;24441583
23936;3.7800002098;40885;36996;310;191488;36790759;24615857
24064;3.9510002136;41234;34417;1952;192512;37007065;24792286
24192;4.4980001450;41280;33542;242;193536;37223475;24966577
24320;4.5260000229;41793;34651;265;194560;37439988;25143006
24448;11.9620008469;42458;37136;5375;195584;37656604;25319458
24576;3.9090001583;42587;35556;1961;196608;37873322;25498061
24704;3.8180000782;42257;40013;292;197632;38090141;25562984
24832;4.1030001640;42401;36845;362;198656;38307062;25629973
24960;4.6680002213;43120;39692;313;199680;38524083;25696984
25088;4.6630001068;43386;39739;234;200704;38741205;25766148
25216;7.6600003242;43472;35527;864;201728;38958426;25833175
25344;4.2670001984;43705;39111;227;202752;39175746;25902340
25472;3.6360001564;43700;40326;300;203776;39393164;25971526
25600;3.6350002289;44123;38210;60;204800;39610681;26042867
25728;3.6310002804;44575;40668;261;205824;39828295;26109912
25856;3.4970002174;44208;39770;215;206848;40046006;26179076
25984;3.5140001774;44900;41426;170;207872;40263814;26248263
26112;3.6680002213;45361;42782;329;208896;40481717;26319603
26240;3.6540002823;45397;42705;169;209920;40699717;26388807
26368;3.6050002575;45934;42094;259;210944;40917812;26460148
26496;3.5540001392;46252;41650;92;211968;41136001;26531510
26624;3.6100001335;46704;42998;153;212992;41354285;26605027
26752;3.5910000801;46326;41732;310;214016;41572662;26672089
26880;3.5610001087;46574;44066;239;215040;41791133;26741255
27008;3.5750002861;46716;43866;190;216064;42009697;26810441
27136;3.6110000610;47038;47761;114;217088;42228353;26881782
27264;3.5990002155;47839;43243;263;218112;42447101;26950985
27392;3.6090002060;47573;46568;304;219136;42665941;27022326
27520;3.6340000629;48980;49496;325;220160;42884872;27093688
27648;3.6100001335;48333;44388;294;221184;43103894;27167205
27776;3.7350001335;48871;44740;6088;222208;43323006;27236426
27904;3.7440001965;49315;43265;226;223232;43542208;27307767
28032;3.7570002079;48995;46927;236;224256;43761500;27379129
28160;3.7370002270;50256;49414;384;225280;43980881;27452646
28288;3.6680002213;50042;46660;145;226304;44200350;27524025
28416;3.6630001068;50273;47130;288;227328;44419908;27597542
28544;5.0540003777;50241;46010;276;228352;44639553;27671080
28672;3.7330002785;50355;46448;261;229376;44859286;27746773
28800;3.6640002728;50746;47567;362;230400;45079106;27813854
28928;3.6810002327;50318;48404;284;231424;45299013;27883019
29056;3.8230001926;51315;51080;329;232448;45519006;27952205
29184;3.8330001831;51443;50818;257;233472;45739086;28023546
29312;3.8280000687;51983;50321;183;234496;45959250;28092749
29440;3.8540000916;52286;52916;54;235520;46179500;28164090
29568;3.8450002670;52249;48763;74;236544;46399835;28235452
29696;3.7710001469;52503;51494;279;237568;46620254;28308969
29824;3.8080000877;52797;50698;363;238592;46840758;28378190
29952;3.8120002747;52707;51895;449;239616;47061345;28449531
30080;3.7460002899;53449;50493;354;240640;47282015;28520893
30208;3.9700002670;53757;50754;186;241664;47502769;28594410
30336;3.8760001659;54428;52667;390;242688;47723605;28665789
30464;3.8950002193;54060;52286;162;243712;47944523;28739306
30592;3.9010002613;54534;53396;298;244736;48165524;28812844
30720;3.7860002518;54439;52442;207;245760;48386606;28888537
30848;3.7900002003;55057;54293;333;246784;48607769;28957776
30976;3.7860002518;54535;53240;340;247808;48829014;29029117
31104;3.7970001698;55519;51504;224;248832;49050339;29100478
31232;5.1690001488;55304;53497;6804;249856;49271744;29173996
31360;4.0870003700;57441;54356;254;250880;49493229;29245375
31488;3.9580001831;56547;54165;227;251904;49714794;29318892
31616;6.5910000801;57411;54466;267;252928;49936439;29392430
31744;6.6110005379;56803;57552;4230;253952;50158162;29468124
31872;7.7470002174;57617;54992;277;254976;50379964;29539521
32000;4.5740003586;57000;56859;279;256000;50601844;29613037
32128;4.7890000343;57547;55465;283;257024;50823802;29686575
32256;4.7740001678;57801;56348;4254;258048;51045838;29762268
32384;4.7740001678;59353;56593;659;259072;51267952;29835823
32512;4.7850003242;58355;56989;133;260096;51490143;29911516
32640;4.1110000610;58449;61689;104;261120;51712410;29987230
32768;4.0160002708;59286;57707;4159;262144;51934754;30065099
32896;4.3390002251;58680;58463;271;263168;52157174;30234012
33024;4.3500003815;60554;58552;197;264192;52379670;30404937
33152;4.4070000648;61040;63907;210;265216;52602242;30575883
33280;5.7060003281;60671;64811;4237;266240;52824889;30748985
33408;4.6200003624;61515;60507;142;267264;53047611;30919948
33536;4.1850004196;61010;63491;157;268288;53270408;31093048
33664;4.1970000267;61517;62685;283;269312;53493279;31266170
33792;4.1460003853;61940;62449;366;270336;53716225;31441447
33920;4.1319999695;62207;60110;217;271360;53939244;31612427
34048;4.1420001984;61392;61384;310;272384;54162337;31785529
34176;4.1800003052;63127;66001;398;273408;54385504;31958651
34304;4.1860003471;62532;62414;150;274432;54608743;32133929
34432;4.1990003586;63691;63052;245;275456;54832056;32307067
34560;4.2200002670;63049;63946;254;276480;55055440;32482344
34688;4.3500003815;64366;64201;267;277504;55278898;32657642
34816;4.2790002823;64177;65718;357;278528;55502427;32835095
34944;4.3550000191;64218;67632;431;279552;55726028;33006094
35072;4.3230004311;64012;66221;377;280576;55949700;33179196
35200;4.3580002785;65380;66691;454;281600;56173443;33352317
35328;4.3790001869;65145;67875;373;282624;56397258;33527594
35456;4.4240002632;66027;70165;355;283648;56621143;33700733
35584;4.7140002251;65740;70035;768;284672;56845099;33876010
35712;4.5780000687;66418;68329;259;285696;57069125;34051308
35840;4.5960001945;66646;69138;371;286720;57293220;34228761
35968;4.7870001793;66842;69333;4189;287744;57517386;34401918
36096;4.6380000114;67021;67955;65;288768;57741621;34577195
36224;4.6460003853;67358;67811;161;289792;57965925;34752493
36352;4.6960000992;68070;70538;246;290816;58190298;34929946
36480;4.5789999962;68058;69492;283;291840;58414739;35105261
36608;4.5570001602;67968;72903;384;292864;58639249;35282714
36736;4.5840001106;68323;73194;499;293888;58863828;35460188
36864;4.6400003433;68645;71517;429;294912;59088474;35639817
36992;4.6750001907;68899;75399;286;295936;59313188;35810834
37120;5.0390000343;69718;71180;8285;296960;59537970;35983935
37248;4.9220004082;70286;72022;352;297984;59762819;36157057
37376;4.8910002708;70777;78532;538;299008;59987735;36332334
37504;4.9180002213;71414;76665;478;300032;60212718;36505474
37632;4.9360003471;70788;76500;611;301056;60437767;36680750
37760;4.9960002899;70964;76768;456;302080;60662883;36856048
37888;4.8400001526;71822;76066;288;303104;60888065;37033501
38016;4.8570003510;71921;74310;464;304128;61113313;37206658
38144;4.8880000114;72082;74746;380;305152;61338626;37381935
38272;4.9070000648;72486;79138;363;306176;61564005;37557233
38400;6.6130003929;72766;75787;395;307200;61789449;37734686
38528;4.9340000153;72764;76847;594;308224;62014959;37910001
38656;5.0060000420;72992;77016;406;309248;62240533;38087454
38784;4.9930000305;73680;77436;465;310272;62466172;38264929
38912;5.0250000954;74217;77548;176;311296;62691875;38444558
39040;5.3480000496;74094;80037;4237;312320;62917642;38617733
39168;5.2270002365;74435;77479;192;313344;63143473;38793009
39296;5.6500000954;74809;79667;4336;314368;63369368;38968307
39424;5.8860001564;75130;79965;4224;315392;63595327;39145761
39552;5.9040002823;76068;80775;4211;316416;63821349;39321075
39680;9.1900005341;76418;79561;237;317440;64047434;39498529
