array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
13824;1.2130000591;20030;5600;1683;110592;20091282;10663069
13952;1.2560000420;20311;6401;1070;111616;20296914;10729072
14080;1.2260000706;20201;5913;1898;112640;20502726;10797213
14208;1.2330000401;20445;4681;732;113664;20708715;10865374
14336;1.9620001316;20991;6948;1879;114688;20914879;10935692
14464;1.7090001106;21428;7219;1696;115712;21121218;10999555
14592;1.4160000086;21771;9865;2206;116736;21327729;11065523
14720;1.6610001326;21611;7177;1943;117760;21534412;11131506
14848;1.2920000553;22085;5499;1996;118784;21741264;11199647
14976;1.6480001211;21796;7281;1825;119808;21948285;11265649
15104;2.0160000324;22113;8132;1834;120832;22155472;11333792
15232;1.3300000429;22332;7831;970;121856;22362825;11401953
15360;1.6890001297;23080;8004;1055;122880;22570342;11472271
15488;1.3160001040;23181;6726;1241;123904;22778021;11538290
15616;1.3600000143;22834;5953;2149;124928;22985861;11606432
15744;1.3640000820;23464;7124;1057;125952;23193862;11674594
15872;1.3440001011;23932;7044;1507;126976;23402021;11744911
16000;1.3520001173;24003;7552;1906;128000;23610337;11813089
16128;1.3530000448;23806;6032;2109;129024;23818810;11883407
16256;1.3630000353;24651;7846;2247;130048;24027437;11953744
16384;1.3860000372;24479;9053;1363;131072;24236218;11796788
16512;1.3790000677;24588;7607;2353;132096;24445152;11920498
16640;1.4130001068;25291;9852;2083;133120;24654236;12046241
16768;1.9900001287;25960;9434;2438;134144;24863471;12172000
16896;4.8220000267;25937;9617;2266;135168;25072855;12299919
17024;2.5700001717;26399;8449;2353;136192;25282387;12425697
17152;1.4960000515;26888;10045;2405;137216;25492065;12553615
17280;2.1920001507;27067;10029;2531;138240;25701889;12681551
17408;1.4740000963;27102;7350;926;139264;25911857;12811645
17536;1.5250000954;27557;9699;2226;140288;26121969;12937443
17664;1.5130001307;27629;9062;2141;141312;26332223;13065360
17792;1.5620000362;27931;10037;2268;142336;26542619;13193297
17920;1.5950000286;28304;11099;1841;143360;26753155;13323391
18048;1.7920000553;28477;9160;1556;144384;26963831;13451345
18176;2.2130000591;28623;8978;1240;145408;27174645;13581439
18304;2.6550002098;29424;11828;1475;146432;27385596;13711552
18432;1.5660001040;29029;9904;1220;147456;27596684;13843821
18560;1.7290000916;29716;12376;2224;148480;27807907;13969637
18688;2.1410000324;30273;11201;1263;149504;28019265;14097555
18816;1.7420001030;29886;10800;1426;150528;28230756;14225490
18944;2.2050001621;30169;9413;1222;151552;28442380;14355584
19072;1.7370001078;31102;11409;1445;152576;28654136;14483539
19200;1.9970000982;31162;10770;1370;153600;28866023;14613634
19328;2.1710000038;31394;11296;1878;154624;29078040;14743746
19456;2.1900000572;31163;10639;2500;155648;29290186;14876015
19584;2.3700001240;31810;12692;1419;156672;29502461;15003989
19712;2.2280001640;31589;10658;1377;157696;29714863;15134082
19840;1.7720000744;32499;12364;1516;158720;29927392;15264195
19968;1.7900000811;32368;11673;1647;159744;30140047;15396464
20096;1.7940000296;32956;12115;1852;160768;30352827;15526596
20224;1.8220001459;33011;13949;2792;161792;30565731;15658866
