array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
14464;1.1890000105;21340;813;11;115712;21121218;10999554
14592;1.2040001154;21609;946;13;116736;21327729;11065521
14720;1.2050000429;21434;716;13;117760;21534412;11131505
14848;1.2520000935;22030;772;13;118784;21741264;11199647
14976;1.1870000362;22306;839;17;119808;21948285;11265649
15104;1.1920000315;22093;898;15;120832;22155472;11333791
15232;1.2560000420;22820;1212;13;121856;22362825;11401953
15360;1.2370001078;23205;965;17;122880;22570342;11472270
15488;2.1320002079;23533;1083;17;123904;22778021;11538291
15616;1.1360000372;22928;830;12;124928;22985861;11606432
15744;1.2680000067;23513;990;12;125952;23193862;11674593
15872;1.3180000782;24182;1226;33;126976;23402021;11744912
16000;2.7170002460;23962;941;15;128000;23610337;11813089
16128;2.7480001450;24378;1087;13;129024;23818810;11883408
16256;1.1580001116;24859;965;15;130048;24027437;11953744
16384;1.2770000696;24402;1165;11;131072;24236218;11796787
16512;1.6500000954;24921;1337;19;132096;24445152;11920499
16640;1.2770000696;25633;836;8;133120;24654236;12046240
16768;1.2930001020;25966;897;17;134144;24863471;12172000
16896;1.2180000544;26365;983;12;135168;25072855;12299918
17024;1.2180000544;26360;976;15;136192;25282387;12425697
17152;1.2320001125;26846;942;18;137216;25492065;12553615
17280;1.2420001030;27159;1049;14;138240;25701889;12681551
17408;2.0799560547;27561;1117;17;139264;25911857;12811652
17536;1.2900000811;27350;914;15;140288;26121969;12937442
17664;1.4380000830;27783;1130;18;141312;26332223;13065360
17792;1.3280000687;27867;953;17;142336;26542619;13193296
17920;1.9790000916;28195;880;16;143360;26753155;13323390
18048;1.4280000925;28530;998;18;144384;26963831;13451345
18176;1.3700001240;28702;1067;14;145408;27174645;13581439
18304;1.4910000563;29222;986;20;146432;27385596;13711551
18432;1.4180001020;29550;941;23;147456;27596684;13843821
18560;1.5130001307;29512;971;14;148480;27807907;13969636
18688;1.5320000648;29826;1123;16;149504;28019265;14097554
18816;1.8770000935;29957;1060;21;150528;28230756;14225490
18944;1.5260000229;30650;1202;13;151552;28442380;14355585
19072;1.5750000477;30606;1114;25;152576;28654136;14483539
19200;1.5970001221;31041;1433;19;153600;28866023;14613634
19328;1.4740000963;31284;1108;18;154624;29078040;14743745
19456;1.7180000544;31588;1040;6;155648;29290186;14876015
19584;1.6290000677;31728;1052;19;156672;29502461;15003988
19712;1.8070000410;32079;1153;20;157696;29714863;15134083
19840;2.2480001450;32263;1047;21;158720;29927392;15264194
19968;1.6200001240;32719;1177;17;159744;30140047;15396465
20096;1.7340000868;32952;1117;13;160768;30352827;15526595
20224;2.0580000877;33256;1099;25;161792;30565731;15658865
20352;1.8760000467;33501;1180;15;162816;30778758;15791154
20480;1.7130000591;33624;1163;22;163840;30991909;15925599
20608;1.7010000944;33951;1448;22;164864;31205181;16051433
20736;1.6120001078;34204;1190;18;165888;31418574;16179350
20864;1.9380000830;34536;1202;10;166912;31632088;16307287
20992;2.4290001392;34844;1091;26;167936;31845722;16437380
21120;1.7000000477;34965;1221;17;168960;32059474;16565335
21248;1.8730001450;35407;1275;15;169984;32273345;16695430
21376;1.8010001183;35557;1235;22;171008;32487334;16825541
21504;1.8250000477;35918;1344;25;172032;32701439;16957812
21632;1.8580000401;36141;1157;19;173056;32915660;17085784
21760;3.9860002995;36512;1441;16;174080;33129997;17215879
21888;1.8030000925;36641;1399;11;175104;33344449;17345991
22016;2.7440001965;37003;1495;22;176128;33559014;17478262
22144;1.7020000219;37027;1146;23;177152;33773694;17608391
22272;1.7610000372;37158;1085;23;178176;33988485;17740661
22400;1.8220001459;37658;1346;29;179200;34203390;17872949
22528;1.8280000687;37678;1220;14;180224;34418405;18007395
22656;1.8500001431;37934;1431;23;181248;34633532;18135386
22784;1.9410001040;38378;1618;15;182272;34848768;18265481
22912;1.9170000553;38261;1352;15;183296;35064114;18395593
23040;2.0740001202;38920;1646;16;184320;35279570;18527863
23168;1.9620001316;38711;1346;8;185344;35495133;18657993
23296;2.0920000076;39243;1326;15;186368;35710805;18790263
23424;2.9400000572;39572;1690;16;187392;35926584;18922552
23552;2.1290001869;39845;1873;14;188416;36142469;19056998
23680;2.0710000992;40173;1532;22;189440;36358460;19187146
23808;2.0270001888;40191;1577;13;190464;36574557;19319416
23936;2.1160001755;40779;1783;17;191488;36790759;19451705
24064;2.1750001907;40808;1655;20;192512;37007065;19586151
24192;2.1200001240;40906;1688;17;193536;37223475;19718458
24320;2.0659999847;41004;1384;20;194560;37439988;19852903
24448;2.2000000477;41630;1757;19;195584;37656604;19987368
24576;2.2240002155;41325;1547;10;196608;37873322;20123990
24704;2.1670000553;41422;1328;18;197632;38090141;20188912
24832;2.8920001984;42535;1634;14;198656;38307062;20255903
24960;2.1640000343;42642;1821;22;199680;38524083;20322911
25088;2.2470002174;42826;1807;14;200704;38741205;20392077
25216;2.1490001678;43035;1527;13;201728;38958426;20459103
25344;3.1910002232;43626;1651;18;202752;39175746;20528270
25472;2.0040001869;43276;1321;17;203776;39393164;20597453
25600;2.2340002060;43733;1397;20;204800;39610681;20668795
25728;3.3360002041;44127;1744;16;205824;39828295;20735841
25856;2.2200000286;44575;1967;15;206848;40046006;20805007
25984;2.2900002003;44896;1821;21;207872;40263814;20874192
26112;2.2070000172;44795;1484;9;208896;40481717;20945532
26240;2.8830001354;45155;1725;15;209920;40699717;21014736
26368;3.3720002174;45639;1531;9;210944;40917812;21086077
26496;3.1150002480;45580;1489;19;211968;41136001;21157437
26624;2.0530002117;46025;1438;13;212992;41354285;21230955
26752;2.9190001488;46196;1812;27;214016;41572662;21298019
26880;2.0760002136;46293;1591;19;215040;41791133;21367184
27008;2.2550001144;46430;1581;22;216064;42009697;21436368
27136;2.2050001621;46777;1650;15;217088;42228353;21507710
27264;2.4090001583;47484;1545;21;218112;42447101;21576913
27392;2.1630001068;47494;1523;17;219136;42665941;21648255
27520;2.1630001068;47852;1593;22;220160;42884872;21719615
27648;2.3010001183;48026;1834;20;221184;43103894;21793134
27776;2.4460000992;48432;1794;21;222208;43323006;21862355
27904;3.0460002422;48698;1870;21;223232;43542208;21933697
28032;2.4540002346;48831;1675;18;224256;43761500;22005056
28160;3.1940002441;48922;2067;22;225280;43980881;22078575
28288;2.1330001354;49191;1630;17;226304;44200350;22149953
28416;2.4350001812;50057;2019;23;227328;44419908;22223472
28544;2.4270000458;50134;2038;19;228352;44639553;22297008
28672;2.4060001373;50477;1995;25;229376;44859286;22372702
28800;2.5040001869;50459;1971;24;230400;45079106;22439782
28928;2.9250001907;50999;1992;18;231424;45299013;22508949
29056;2.1820001602;50558;1744;21;232448;45519006;22578132
29184;2.3730001450;51157;1797;21;233472;45739086;22649474
29312;2.4760000706;51536;1994;23;234496;45959250;22718678
29440;2.4620001316;51407;1953;18;235520;46179500;22790020
29568;2.4000000954;51747;1890;25;236544;46399835;22861380
29696;2.4290001392;52354;1872;14;237568;46620254;22934898
29824;2.2300000191;52279;1818;22;238592;46840758;23004118
29952;2.4920001030;52660;1892;25;239616;47061345;23075460
30080;3.7150001526;53391;2185;17;240640;47282015;23146822
30208;2.5140001774;53338;1776;18;241664;47502769;23220339
30336;2.4480001926;53668;1983;20;242688;47723605;23291718
30464;5.3670001030;53906;2404;6;243712;47944523;23365236
30592;2.6410000324;54241;2183;27;244736;48165524;23438771
30720;4.6720004082;54949;2035;20;245760;48386606;23514467
30848;2.5490000248;55011;2284;16;246784;48607769;23583705
30976;2.5750000477;55265;2190;24;247808;48829014;23655047
31104;2.4770002365;55541;2283;20;248832;49050339;23726407
31232;2.2980000973;55721;1787;18;249856;49271744;23799924
31360;3.8690001965;56284;2197;14;250880;49493229;23871304
31488;2.3110001087;56171;1960;18;251904;49714794;23944821
31616;2.5970001221;56370;2025;19;252928;49936439;24018357
31744;2.4570000172;56285;1923;25;253952;50158162;24094051
31872;2.4260001183;56983;2015;21;254976;50379964;24165449
